id,en,zh,topic,difficulty
467,"I'm not sure I can do it.","恐怕这事我干不了。","观点、同意与评价",L3
468,"I'm not used to drinking.","我不习惯喝酒。","日常陈述与事务",L2
469,"Is the cut still painful?","伤口还在痛吗?","疑问、澄清与确认",L2
470,"It's too good to be true!","好得难以置信。","惯用语与俚语",L3
471,"Jean is a blue-eyed girl.","珍是个蓝眼睛的女孩。","日常陈述与事务",L2
472,"Let's not waste our time.","咱们别浪费时间了。","请求、指令与许可",L2
473,"May I ask some questions?","我可以问几个问题吗?","请求、指令与许可",L2
474,"Money is not everything.","金钱不是一切。","观点、同意与评价",L2
475,"Neither of the men spoke.","两个人都没说过话。","日常陈述与事务",L2
476,"Stop making such a noise.","别吵了。","请求、指令与许可",L2
477,"That makes no difference.","没什么区别。","观点、同意与评价",L2
478,"The price is reasonable.","价格还算合理。","观点、同意与评价",L2
479,"They crowned him king.","他们拥立他为国王。","日常陈述与事务",L2
480,"They're in red and white","他们穿着红白相间的衣服。","日常陈述与事务",L2
481,"We all desire happiness","我们都想要幸福。","日常陈述与事务",L2
482,"We just caught the plane","我们刚好赶上了飞机。","日常陈述与事务",L2
483,"What shall we do tonight?","我们今天晚上去干点儿什么呢?","疑问、澄清与确认",L2
484,"What's your goal in life?","你的人生目标是什么?","疑问、澄清与确认",L2
485,"When was the house built?","这幢房子是什么时候建造的?","疑问、澄清与确认",L2
486,"Why did you stay at home?","为什么呆在家里?","疑问、澄清与确认",L2
487,"You mustn't aim too high","你不可好高骛远。","请求、指令与许可",L2
488,"You're really killing me!","真是笑死我了!","惯用语与俚语",L3
489,"You've got a point there.","你说得挺有道理的。","观点、同意与评价",L2
490,"Being criticized is awful!","被人批评真是痛苦!","情绪与安慰",L2
491,"Did you enter the contest?","你参加比赛了吗?","疑问、澄清与确认",L2
492,"Do you accept credit cards?","你们收信用卡吗?","疑问、澄清与确认",L2
493,"Don't cry over spilled milk.","不要做无益的后悔。","惯用语与俚语",L3
494,"Don't let chances pass by.","不要让机遇从我们身边溜走。","惯用语与俚语",L3
495,"He owned himself defeated.","他承认自己失败了。","日常陈述与事务",L2
496,"He seems a little nervous.","他显得有点紧张。","情绪与安慰",L2
497,"He strolls about the town.","他在镇上四处遛达。","日常陈述与事务",L2
498,"How about a drink tonight?","今晚喝一杯怎样?","疑问、澄清与确认",L2
499,"Wake me up at five thirty.","请在五点半叫醒我。","请求、指令与许可",L2
500,"We are all busy with work.","我们都忙于工作。","日常陈述与事务",L2
